event_id,event_time,location,rock_type,depth,compressive_strength,tensile_strength,tangential_stress,brittleness_ratio,elastic_strain_energy,density,signal_energy,event_duration,dominant_frequency,signal_rms,seismic_event_rate,peak_ground_acceleration,gutenberg_richter_b,cumulative_seismic_energy,axial_stress,radial_stress,strain_rate,intensity_label,seismic_pulses,total_seismic_energy,rockburst_grade
RB01193,7/20/2025 14:05,Kohat Underground,Chalk,555,134.5,13,79,3.35,2.88,2.73,0.33,1.66,5.7,0.062,8.7,0.68,0.97,315.2,85,68.3,0.0035,I,63,3040,0
RB04588,6/3/2025 16:43,Reko Diq Zone 3,Gneiss,811,98.6,8.2,109.8,2.73,3.21,2.61,0.58,1.56,7.04,0.062,19.2,0.98,0.98,446.9,114.9,85.8,0.0048,IV,39,2410,0
RB04511,4/24/2025 9:55,Balochistan Deep Shaft,Shale,809,103.7,8.6,102.1,3.29,2.18,2.54,0.56,0.87,6.39,0.079,19.5,0.98,1.24,426.8,100.5,88,0.0049,IV,35,3960,0
RB03671,4/2/2025 18:37,Dir Valley Route,Quartzite,731,105.4,8.8,95,3.59,2.97,2.6,0.53,1.18,6.37,0.088,15.8,0.84,1.26,399.6,100.7,78.3,0.0047,III,60,4420,0
RB00625,7/1/2025 22:30,Dir Valley Route,Slate,564,138.5,12.6,75.5,3.38,2.47,2.72,0.36,1.72,6.13,0.065,11.6,0.66,1.27,332.8,93.4,68.8,0.0038,I,405,49520,0
RB02797,7/28/2025 20:35,Buner Basin Tunnel,Slate,722,109.5,9.7,93.6,3.74,3.35,2.66,0.51,1.98,6.55,0.081,17.1,0.86,1.13,370.2,100,79.7,0.0047,III,495,51910,0
RB04292,2/5/2025 15:33,Reko Diq Zone 3,Marble,814,104.4,8.9,100.4,3.46,2.52,2.56,0.56,1.63,5.82,0.089,19.8,0.92,1.07,427.8,105.3,88.3,0.0049,IV,215,13600,0
RB04969,12/19/2025 9:39,Dir Valley Route,Shale,918,102.5,9.6,104.2,2.95,3.4,2.61,0.57,1.34,5.62,0.084,19.6,0.9,1.07,444,106.9,80.9,0.0048,IV,417,40140,0
RB00234,2/28/2025 8:47,Thar Block A,Gneiss,516,136.6,11.3,74,3.28,3.16,2.57,0.37,1.95,6.03,0.078,8,0.62,0.96,313.9,86,68.8,0.0035,I,376,31390,0
RB04567,9/19/2025 11:28,Skardu Access Tunnel,Andesite,817,97.4,8,108.3,3.28,2.73,2.54,0.55,0.94,5.55,0.079,20,0.95,1.09,411.1,108.4,82.6,0.005,IV,103,11230,0
RB01663,11/29/2025 2:14,Reko Diq Zone 3,Limestone,623,124.3,11.1,86.3,2.89,2.27,2.56,0.45,1.33,7.12,0.075,12.8,0.78,1.01,368.1,92.4,71.7,0.0042,II,264,23200,0
RB00416,6/4/2025 17:12,Mansehra Mid Tunnel,Gneiss,527,129.8,11.3,74.8,3.18,3.19,2.68,0.37,1.7,7.48,0.063,11.7,0.65,1.15,319.2,88.2,65.4,0.0037,I,444,26670,0
RB04247,2/5/2025 9:17,Punjab Core Tunnel,Gneiss,836,92.4,8.2,104.7,3.59,2.12,2.79,0.59,1.39,6.91,0.066,19.8,0.93,1.2,410.2,110.5,87.9,0.0049,IV,282,26860,0
RB02174,7/11/2025 17:35,Kohat Underground,Slate,650,124.3,11.3,81.6,3.65,3.38,2.52,0.45,0.98,6.07,0.089,13.1,0.8,1.27,330.2,93.9,78.6,0.0041,II,250,21760,0
RB01457,3/18/2025 15:14,Reko Diq Zone 3,Gneiss,661,120.9,9.6,87.4,2.51,2.79,2.69,0.43,1.95,6.45,0.075,13.6,0.79,0.94,348.7,93.3,75.3,0.0044,II,211,17570,0
RB00747,2/25/2025 7:38,Kohat Underground,Gneiss,505,138.8,12.3,75.8,3.52,2.38,2.63,0.36,1.51,5.55,0.073,9.2,0.69,1.08,326.6,93.3,71.1,0.0036,I,133,11800,0
RB00018,4/1/2025 2:28,Sanghar Section 1,Marble,525,133.8,13.1,73.4,2.78,2.85,2.53,0.39,0.8,7.32,0.088,8.7,0.64,1.14,333.1,88.2,71.7,0.0037,I,451,40250,0
RB01201,12/11/2025 16:21,Kohat Underground,Shale,523,135.4,11.3,78.5,2.57,3.01,2.75,0.31,1.36,7.37,0.067,10,0.6,0.95,334.2,87.8,68.3,0.0038,I,370,45180,0
RB01700,10/15/2025 18:00,Sindh Line A,Conglomerate,612,115.2,10,87.9,3.11,2.44,2.53,0.44,1.54,6.91,0.081,12.7,0.77,1.09,340.4,94.7,73,0.0041,II,157,25650,0
RB03254,9/3/2025 21:17,Punjab Core Tunnel,Granite,725,109.2,8.5,92.8,2.74,3.42,2.64,0.49,1.52,6.81,0.08,16.9,0.86,1.17,371.2,100.4,78.9,0.0048,III,485,48530,0
RB00597,11/30/2025 1:09,Mansehra Mid Tunnel,Basalt,516,130.9,13.9,76.4,3.39,3.06,2.54,0.31,0.99,5.78,0.082,10.3,0.67,0.93,317,87.1,72.2,0.0039,I,469,45350,0
RB03227,10/11/2025 16:37,Punjab Core Tunnel,Andesite,768,105,8.7,93,2.52,3.39,2.79,0.49,1.7,6.09,0.079,17.2,0.87,1.19,409.8,97.7,81.9,0.0046,III,352,31710,0
RB04406,12/4/2025 6:40,Gilgit Drift Alpha,Dolomite,863,100.1,9.8,109.6,2.87,2.89,2.76,0.59,1.44,5.59,0.085,18.4,0.91,0.97,440.6,104.3,86.5,0.0048,IV,50,4520,0
RB04720,10/6/2025 10:28,Buner Basin Tunnel,Basalt,887,95.9,7.7,100.1,2.99,2.11,2.73,0.59,1.13,5.66,0.076,19.1,0.91,0.91,420.6,103.5,88.7,0.0049,IV,47,7400,0
RB01506,2/21/2025 2:35,Attock Rock Shaft,Quartzite,682,123,11,85.1,3.66,3.43,2.52,0.44,0.92,7.17,0.081,12.4,0.71,1.01,350.4,95.1,72.2,0.0043,II,243,20160,0
RB01413,6/1/2025 5:56,Tunnel B-12,Dolomite,637,118.9,11.4,82.1,3.53,3.48,2.68,0.47,1.82,7.02,0.073,13.4,0.77,1,357.4,97.4,76.2,0.0041,II,602,50890,0
RB01966,7/24/2025 1:33,Sindh Line A,Conglomerate,631,117.6,9.7,81.4,3.01,3.02,2.54,0.48,1.18,6.92,0.062,14.5,0.72,0.94,330.9,97.7,70.7,0.0044,II,519,40880,0
RB00372,12/30/2025 18:15,Qasim Tunnel,Migmatite,548,132.9,12.2,75.9,3.27,3.36,2.68,0.37,1.36,5.87,0.066,9.8,0.68,1.23,300.5,90.4,68.8,0.0036,I,308,30430,0
RB01341,7/3/2025 13:44,Sindh Line A,Limestone,607,116.4,11.9,88.5,3.24,3.11,2.74,0.45,1.22,6.87,0.061,14,0.72,1.11,335.7,98.2,78,0.004,II,767,71080,0
RB00599,6/7/2025 19:04,Qasim Tunnel,Dolomite,529,127.7,13.1,71.5,2.99,2.76,2.56,0.36,1.4,7.03,0.072,9.6,0.62,1.05,318.3,89.6,73.7,0.0037,I,735,65490,0
RB00239,6/29/2025 20:31,Buner Basin Tunnel,Phyllite,538,134.8,11.1,77.2,2.89,2.04,2.73,0.36,0.82,5.54,0.065,11.7,0.61,0.91,301.6,88.4,71.1,0.0036,I,361,31440,0
RB03401,6/3/2025 5:50,Kohat Underground,Chalk,787,108.4,10.2,97.9,3.27,2.27,2.54,0.51,1.78,5.65,0.071,16.8,0.8,1.07,383.5,104.7,78.3,0.0045,III,626,51660,0
RB02068,6/9/2025 13:13,Gilgit Drift Alpha,Basalt,677,124.8,11.5,82.4,3.52,2.03,2.5,0.42,1.82,6.86,0.083,13.6,0.72,1.29,349.7,93.7,74.3,0.004,II,468,45080,0
RB00811,3/6/2025 8:43,Punjab Core Tunnel,Migmatite,598,129.5,11.1,79.4,2.54,2.11,2.6,0.33,1.88,5.51,0.084,11.5,0.64,0.91,305.9,87.6,66.7,0.0036,I,582,48100,0
RB01095,11/26/2025 21:19,Mansehra Mid Tunnel,Gneiss,536,138.4,12.9,77.5,3.62,2.51,2.74,0.3,1.62,6.75,0.062,11.4,0.61,1.02,325,86.2,73,0.004,I,913,90330,0
RB04325,5/31/2025 17:53,Khewra Drift,Chalk,880,92.5,8.6,101.8,2.66,2.98,2.7,0.56,1.12,5.66,0.078,19.1,0.9,1.11,416.5,109.6,83.6,0.0049,IV,699,50090,0
RB04761,9/2/2025 4:45,Karak Tunnel,Slate,918,96.3,8.2,104.4,2.85,2.51,2.69,0.56,1.96,6.27,0.086,19.1,1,1.02,419.5,104.9,85.3,0.0049,IV,500,36430,0
RB03677,1/10/2025 6:53,Attock Rock Shaft,Marble,719,112.1,10.3,99.6,3.18,3.16,2.74,0.5,1.59,7.33,0.071,16.4,0.89,0.93,402.1,104.3,83.6,0.0045,III,952,65150,0
RB03465,11/7/2025 2:56,Reko Diq Zone 3,Shale,701,108,10.2,90.1,2.8,2.23,2.68,0.5,1.04,6.82,0.084,16.8,0.82,1.14,394.9,101.8,75.1,0.0047,III,577,40030,0
RB03104,5/12/2025 10:54,Sindh Line A,Chalk,775,107.6,10.3,93.8,2.83,3.15,2.62,0.49,1.8,7.38,0.083,16.7,0.8,0.97,402.4,102,77.1,0.0046,III,579,45170,0
RB02750,11/14/2025 11:37,Punjab Core Tunnel,Granite,747,110.6,8.3,94.9,2.54,2.65,2.6,0.5,1.28,5.63,0.067,17.3,0.85,1.18,384.9,101.9,78.8,0.0045,III,1375,93510,0
RB02296,2/28/2025 5:45,Qasim Tunnel,Limestone,613,121,9.7,80.2,3.8,2.78,2.65,0.48,1.91,6.88,0.063,12.3,0.78,1.12,332,94.6,71.5,0.0042,II,941,59240,0
RB04193,9/12/2025 8:38,Thar Block A,Quartzite,830,96,8.8,103,3.45,2.29,2.51,0.57,1.32,5.99,0.07,18.6,0.93,1.23,416.3,112.5,88.5,0.0048,IV,126,11130,0
RB03709,5/29/2025 7:05,Skardu Access Tunnel,Phyllite,722,113,8.8,96.7,2.64,3.5,2.67,0.54,1.47,6.47,0.08,16.3,0.88,1.28,399.8,101.5,84.4,0.0045,III,49,2960,0
RB03019,11/2/2025 7:27,Skardu Access Tunnel,Gneiss,778,111.1,8.7,92.3,2.72,3.39,2.56,0.49,1.4,6.14,0.071,15.9,0.82,1.13,372,100.8,81.9,0.0046,III,72,10520,0
RB04253,4/1/2025 17:23,Karak Tunnel,Quartzite,937,103.5,7.4,109.7,2.92,2.17,2.5,0.57,1.95,7.43,0.074,19.3,0.96,1.28,440.4,114.4,83.9,0.0049,IV,770,44770,0
RB00804,4/21/2025 0:43,Mine X-Delta,Migmatite,560,135.6,13.9,79.4,3.63,2.89,2.58,0.35,1.36,6.71,0.081,10.7,0.67,0.93,321.3,90.3,65.3,0.0035,I,1419,79790,0
RB04191,11/23/2025 19:58,Tunnel B-12,Quartzite,850,93.3,7.4,103.6,2.59,2.17,2.69,0.55,1.21,6.07,0.061,19.5,0.94,1.07,434.4,111.3,80.4,0.0048,IV,897,58160,0
RB03706,11/12/2025 1:18,Makran Fault Shaft,Sandstone,750,114.6,9.2,95.9,3,2.62,2.78,0.54,1.44,6.55,0.077,15.1,0.88,0.95,380.6,97.7,81.4,0.0047,III,944,51230,0
RB00752,3/6/2025 8:28,Tunnel B-12,Chalk,519,138.3,12.5,76.6,3.01,3.06,2.64,0.39,1.04,6.32,0.073,9.6,0.63,1.02,310.9,93.9,67.3,0.0037,I,1204,55890,0
RB04645,5/8/2025 18:05,Mansehra Mid Tunnel,Andesite,818,103.5,8.6,105.8,3.06,2.05,2.75,0.6,1.94,6.82,0.086,19.2,0.98,1.16,432.9,109.7,88,0.005,IV,665,29900,0
RB02532,8/19/2025 6:39,Sanghar Section 1,Migmatite,732,106,10.9,93.4,3.21,3,2.61,0.5,0.9,6.97,0.07,16.4,0.85,1.13,374.1,103.1,80.6,0.0046,III,205,8660,0
RB00622,4/18/2025 0:04,Punjab Core Tunnel,Shale,552,137.7,12.6,79.2,3.78,2.94,2.7,0.37,1.87,7.28,0.082,9.8,0.62,0.92,314.7,86.3,74.3,0.0036,I,592,23290,0
RB02298,8/27/2025 9:48,Thar Block A,Migmatite,603,119.3,9.1,89.7,3.56,2.9,2.7,0.41,0.9,6.72,0.062,14.2,0.72,1.11,368.5,92,76,0.0045,II,523,21000,0
RB03829,9/27/2025 17:32,Sindh Line A,Phyllite,894,101.1,9.5,102,2.85,2.63,2.61,0.55,1.97,6.72,0.082,19,0.92,1.01,441,102.8,81,0.0049,IV,434,24570,0
RB00567,7/27/2025 17:05,Khewra Drift,Migmatite,566,130,13.1,77.1,3.74,2.05,2.66,0.32,1.23,5.61,0.079,10.2,0.65,1.21,313.7,89.9,67.6,0.0037,I,999,56350,0
RB01136,6/30/2025 3:30,Attock Rock Shaft,Shale,589,134.7,13.3,78.1,2.68,2.64,2.74,0.3,1.78,6.01,0.086,8.7,0.67,1.16,303.5,90.9,72.7,0.0037,I,643,31900,0
RB01205,4/17/2025 7:07,Tunnel B-12,Slate,548,133.1,13.9,73.7,3.42,3.16,2.7,0.32,1.22,5.95,0.084,10.9,0.61,1.05,323.9,94.4,68.4,0.0035,I,359,23920,0
RB01048,8/19/2025 12:31,Sindh Line A,Slate,582,139.8,10.9,74.6,2.57,2.32,2.53,0.3,1.95,6.59,0.074,10.3,0.64,1.17,320,90.4,74.7,0.0036,I,1008,65240,0
RB00052,6/23/2025 23:34,Balochistan Deep Shaft,Slate,563,125.7,10.8,73.3,2.57,3,2.59,0.3,0.97,6.08,0.077,10.4,0.61,0.98,344.6,91.7,68.1,0.0039,I,587,49070,0
RB03652,5/13/2025 10:36,Mine X-Delta,Limestone,720,106.9,9.6,91.8,2.51,2.09,2.71,0.53,1.48,6.57,0.08,17.8,0.88,0.93,401.9,98.5,84.6,0.0047,III,1191,122820,0
RB01045,2/11/2025 17:34,Sanghar Section 1,Slate,579,128.3,14,78.3,3.12,3.01,2.52,0.3,1.37,6.98,0.077,11,0.61,0.96,321.6,89.5,73.2,0.0037,I,1174,132520,0
RB02182,4/25/2025 16:42,Punjab Core Tunnel,Shale,647,117.6,9.3,81.7,3.33,2.13,2.52,0.4,0.98,5.56,0.076,13.1,0.75,1.16,341,95.1,78,0.0043,II,258,25710,0
RB02689,7/6/2025 1:42,Kohat Underground,Dolomite,773,110.1,10.6,90.7,3.65,3.23,2.59,0.51,1.2,5.63,0.072,17.9,0.84,1.05,375.6,104.4,81.6,0.0046,III,174,17700,0
RB00535,2/1/2025 10:11,Kohat Underground,Andesite,527,130,10.3,73.3,3.68,2.42,2.56,0.35,0.84,6.15,0.073,9.3,0.67,1.16,321.7,87.6,71.9,0.0036,I,155,72300,3
RB03185,2/16/2025 13:35,Gawadar Support Shaft,Gneiss,735,115,10.2,98.1,3.54,3.18,2.52,0.51,1.25,6.02,0.069,16.9,0.9,1.05,397.9,100.3,76.3,0.0046,III,130,16960,3
RB03858,7/13/2025 12:22,Buner Basin Tunnel,Conglomerate,892,99,7.2,101.5,2.68,2.78,2.77,0.54,1.15,7.04,0.076,18.4,0.97,1.05,438.2,114,85.7,0.005,IV,935,87700,0
RB00444,9/7/2025 11:42,Gawadar Support Shaft,Shale,561,137.2,12,79,2.52,2.01,2.52,0.34,1.88,5.54,0.08,8,0.66,1.12,333.8,89.6,72,0.0035,I,1122,118860,0
RB03605,6/21/2025 0:05,Balochistan Deep Shaft,Conglomerate,793,114.8,9,91.5,3.66,2.75,2.51,0.48,1.81,5.92,0.067,15,0.84,1.2,402.6,102.6,79.8,0.0048,III,1159,102710,0
RB00196,11/1/2025 4:57,Gawadar Support Shaft,Limestone,582,127.5,13.2,70.1,3.14,3.45,2.71,0.31,1.43,5.67,0.085,11.8,0.64,0.99,338.3,87.9,66.7,0.0035,I,860,95050,0
RB01116,4/4/2025 11:30,Balochistan Deep Shaft,Dolomite,594,125.3,10,76.7,3.55,2.58,2.66,0.36,1.77,6.39,0.073,9.8,0.7,1.1,326.5,88.7,67.7,0.0038,I,1766,182210,0
RB00766,4/11/2025 12:53,Buner Basin Tunnel,Migmatite,546,128.2,12.7,73.6,3.43,2.21,2.75,0.32,1.71,6.77,0.086,11.9,0.63,0.94,349.5,94.2,71.9,0.0037,I,859,95020,0
RB01946,7/9/2025 17:20,Skardu Access Tunnel,Migmatite,679,124.7,11.2,86.4,2.83,3.43,2.72,0.43,1.2,6.68,0.085,13.2,0.74,1.26,355.5,98.7,73.7,0.0041,II,235,29290,0
RB03248,8/18/2025 7:10,Makran Fault Shaft,Andesite,765,106.7,9.2,91.4,3.36,3.4,2.6,0.5,1.82,5.88,0.076,17.6,0.85,1.23,404.3,104.7,78.8,0.0046,III,121,11440,0
RB03003,5/22/2025 15:45,Mine X-Delta,Chalk,734,114.4,11,95.3,3.5,2.51,2.64,0.51,1.48,6.64,0.081,15.4,0.8,0.98,391.2,101.7,81.6,0.0045,III,94,26800,0
RB01433,7/8/2025 17:50,Thar Block A,Sandstone,614,120.7,9.7,89.8,2.8,2.9,2.76,0.47,1.23,6.79,0.087,14,0.77,1.11,339.9,97.1,74.7,0.004,II,334,43650,0
RB04201,7/5/2025 9:52,Gilgit Drift Alpha,Slate,872,104.5,9.2,106.3,2.7,2.27,2.5,0.57,1.21,6.79,0.075,18.7,0.96,1.16,444.3,110.5,82.4,0.0048,IV,1252,154830,0
RB03096,5/3/2025 16:38,Kohat Underground,Migmatite,799,110.5,10.5,98.2,3.08,2.46,2.69,0.51,1.3,5.55,0.063,15,0.87,0.96,401.2,99.6,83.3,0.0046,III,1170,121720,0
RB02923,4/7/2025 7:04,Makran Fault Shaft,Marble,754,114.7,8,92.3,3.78,2.5,2.69,0.54,1.9,6.36,0.065,17.9,0.88,0.99,406.2,102.2,82.5,0.0047,III,997,111950,0
RB00645,5/1/2025 4:41,Buner Basin Tunnel,Conglomerate,583,125.2,11,71.6,3.14,3.29,2.61,0.34,1.67,6.47,0.086,11.5,0.6,1.26,312.6,90.4,69,0.004,I,1651,190960,0
RB01050,2/3/2025 11:55,Makran Fault Shaft,Migmatite,569,127.9,10.8,76.3,2.89,3.01,2.75,0.32,1.97,6.16,0.076,12,0.62,1.02,344.9,94.6,72.1,0.0037,I,996,95620,3
RB03746,10/14/2025 7:12,Kohat Underground,Limestone,731,106.5,8.3,94.5,3.29,2.02,2.7,0.53,1.42,5.56,0.067,16.6,0.83,1.1,403.6,96,79.6,0.0046,III,1074,133430,0
RB04094,10/24/2025 6:30,Tunnel B-12,Phyllite,810,94.5,7,105.2,2.65,2.61,2.6,0.57,1.36,6.81,0.081,18.5,0.91,1.26,417,101.8,88.2,0.005,IV,2069,253510,0
RB04404,10/25/2025 1:32,Khewra Drift,Granite,848,99.6,9.1,104.6,2.65,2.31,2.58,0.56,1.41,6.26,0.072,19.3,0.98,1.09,410.3,109.6,80.7,0.0048,IV,935,121870,0
RB00121,2/21/2025 20:04,Thar Block A,Andesite,545,136.2,12.4,74.2,3.25,2.95,2.6,0.32,1.41,6.04,0.064,9,0.63,1.09,319.6,93.3,68.9,0.004,I,1282,148160,0
RB02053,9/17/2025 9:29,Balochistan Deep Shaft,Slate,629,122.5,10.7,86.4,3.79,2.16,2.65,0.47,1.37,6.94,0.089,14.7,0.79,1.17,368.8,90.8,79.7,0.0041,II,1301,156780,0
RB04259,3/4/2025 22:24,Dir Valley Route,Marble,942,96.5,9.1,107.5,3.27,3.01,2.5,0.57,1.86,5.53,0.079,18.4,0.94,1.3,412.2,108.1,81.2,0.0048,IV,157,23000,0
RB04889,4/14/2025 6:07,Sindh Line A,Limestone,850,97.3,9.5,108.4,3.59,2.5,2.79,0.6,1.38,6.88,0.088,18.8,0.97,0.98,444.3,113.2,81.6,0.0049,IV,1003,107100,0
RB04335,1/10/2025 19:05,Buner Basin Tunnel,Slate,811,97.2,7.6,109.6,3.01,2.58,2.68,0.59,1.6,5.96,0.074,18.7,0.91,1.05,424,106.5,83.5,0.0049,IV,1140,127110,0
RB04692,1/16/2025 10:33,Gilgit Drift Alpha,Phyllite,915,95.9,9.7,106.4,2.73,2.19,2.74,0.56,1.82,7.11,0.08,19.7,0.97,1.23,443.3,103.6,87,0.005,IV,1534,163510,0
RB00135,8/21/2025 23:27,Thar Block A,Gneiss,519,133.4,12.8,79.3,3.27,2.7,2.55,0.31,1.59,6.16,0.086,9.5,0.66,1.3,337,91.2,74.2,0.0038,I,1411,134890,0
RB02461,6/15/2025 5:43,Tunnel B-12,Marble,606,117.6,10.1,81.1,2.83,2.9,2.66,0.46,1.85,6.15,0.064,12.6,0.73,1.18,337.1,92.4,78.5,0.0043,II,2522,306400,0
RB01955,12/31/2025 20:09,Punjab Core Tunnel,Andesite,668,120,11.6,89.9,2.95,2.61,2.77,0.45,1.56,6.37,0.068,13.9,0.71,0.92,360.4,98.2,76.7,0.0043,II,898,83490,0
RB02464,6/9/2025 19:40,Punjab Core Tunnel,Dolomite,698,115.4,10.2,84.4,3.67,3.37,2.68,0.4,1.17,5.96,0.068,12.9,0.7,1.09,340.3,94.3,75.2,0.0042,II,967,92760,0
RB00185,6/17/2025 3:11,Qasim Tunnel,Andesite,560,136.2,11.3,70.7,3.17,2.73,2.76,0.33,1.1,5.68,0.08,8.7,0.69,0.93,326.2,91.6,65.5,0.0037,I,958,105810,0
RB01393,2/9/2025 2:51,Mine X-Delta,Dolomite,641,121.2,9.9,82.5,2.73,2.19,2.68,0.4,1.15,6.18,0.063,13.3,0.71,0.95,349,98.9,74.6,0.0042,II,1235,128260,0
RB02277,5/3/2025 0:32,Gilgit Drift Alpha,Slate,659,120.8,9.1,86.4,3.57,2.91,2.52,0.44,1.7,6.81,0.084,12.5,0.74,0.96,332.9,97.8,75.2,0.0042,II,1031,95280,0
RB00512,8/3/2025 7:53,Makran Fault Shaft,Gneiss,572,131.9,14,74,2.83,2.91,2.79,0.34,1.74,6.23,0.076,8.1,0.69,0.98,300.5,87.9,65.2,0.0036,I,1921,186280,0
RB04730,8/14/2025 15:47,Reko Diq Zone 3,Sandstone,865,95.1,9.8,100.4,2.9,2.66,2.59,0.59,1.19,6.1,0.081,18.7,0.98,1.24,417.5,114.7,85.2,0.0049,IV,1913,195950,0
RB04055,10/27/2025 11:18,Tunnel B-12,Phyllite,950,100.8,9,101.3,3.1,2.7,2.63,0.56,1.23,6.26,0.081,18.8,0.94,1.27,440.1,104.1,86,0.0049,IV,1095,117120,0
RB03138,12/6/2025 7:29,Punjab Core Tunnel,Phyllite,797,113.7,10.2,96.2,3.45,2.75,2.78,0.49,0.88,6.17,0.09,16.8,0.81,1.18,373.9,102.1,79.3,0.0046,III,2387,273200,0
RB02670,5/12/2025 0:12,Buner Basin Tunnel,Shale,707,108.8,9,99.7,3.34,3.05,2.6,0.48,1.66,7.07,0.064,17.8,0.85,0.91,404,100,84.7,0.0047,III,1063,121400,0
RB04774,6/25/2025 11:23,Punjab Core Tunnel,Dolomite,862,97.9,9.5,108.1,3.29,2.54,2.66,0.59,1.32,7.37,0.086,19.9,0.9,1.24,437.7,114.4,87.6,0.0049,IV,1668,200350,0
RB04862,8/21/2025 4:18,Mine X-Delta,Shale,913,96,8.2,109.2,3.03,3.17,2.59,0.6,1.02,7.45,0.087,18.5,0.9,1.28,442.7,105.2,86.9,0.0048,IV,1397,130940,0
RB02118,11/25/2025 11:36,Balochistan Deep Shaft,Sandstone,616,121.3,10.8,82.4,3.72,3.26,2.77,0.43,0.94,7.48,0.084,14.8,0.75,1.08,335.5,99.3,79.4,0.0042,II,343,38450,0
RB00252,1/18/2025 1:06,Gilgit Drift Alpha,Dolomite,564,127.2,11,77.6,3.65,2.71,2.68,0.32,1.92,6.63,0.069,8.3,0.69,1.24,343.4,91.1,68.7,0.0037,I,122,12490,0
RB03527,1/17/2025 0:14,Qasim Tunnel,Chalk,795,109.7,9.3,94.7,3.54,2.18,2.71,0.53,1.63,6.52,0.083,16.6,0.84,1.28,370.3,102.3,77.6,0.0045,III,126,12380,0
RB03560,9/11/2025 6:18,Punjab Core Tunnel,Dolomite,756,110.3,10.3,93,3.31,2.01,2.63,0.51,1.55,6.69,0.068,17.8,0.82,1.28,374.6,97,80.8,0.0046,III,118,12150,3
RB04012,12/11/2025 3:17,Khewra Drift,Basalt,940,98.9,7.1,108.4,3.06,3.4,2.59,0.58,1.73,7.03,0.088,18.6,0.97,1.07,435.3,102.9,84,0.0049,IV,1762,166220,0
RB01508,6/4/2025 14:32,Gilgit Drift Alpha,Dolomite,637,120.9,10,85,3.21,2.21,2.51,0.41,1.15,6.76,0.079,14.3,0.74,1.13,338.9,91.7,71.4,0.0041,II,2852,265250,0
RB00123,4/4/2025 17:43,Makran Fault Shaft,Conglomerate,532,130,12.3,73.3,3.29,2.23,2.59,0.32,1.41,5.73,0.065,8.3,0.63,1.09,315.8,89.8,68.5,0.0036,I,1702,162190,0
RB04260,8/6/2025 14:44,Punjab Core Tunnel,Limestone,918,101.6,8.3,103.9,3.24,3.45,2.62,0.55,1.18,6.05,0.063,18.6,0.98,1.23,435.1,101.9,85,0.005,IV,1388,127010,0
RB03334,2/9/2025 7:56,Tunnel B-12,Phyllite,731,106.8,9.6,97.2,2.9,3.19,2.57,0.49,1.61,6.93,0.08,15,0.9,1,377.2,96.6,84.9,0.0047,III,2597,229070,0
RB01872,3/31/2025 2:44,Mansehra Mid Tunnel,Shale,689,115.4,12,88.1,2.53,2.03,2.56,0.42,1.24,7.33,0.087,14.6,0.7,1.02,330.3,95.5,75.7,0.0043,II,1690,167100,0
RB03693,7/16/2025 2:38,Tunnel B-12,Basalt,747,114,9.8,90.7,3.34,2.44,2.62,0.49,1.78,5.53,0.061,17.4,0.83,1.22,395.3,100.7,83.1,0.0045,III,1552,132470,0
RB00568,3/30/2025 17:54,Mine X-Delta,Sandstone,523,139.5,13.1,70.8,3.05,2.29,2.76,0.39,0.9,7.11,0.067,9.4,0.66,0.93,314.4,88.8,67.5,0.0037,I,2932,254750,0
RB01372,2/25/2025 9:05,Skardu Access Tunnel,Dolomite,621,116.7,9.9,89,3.48,2.82,2.75,0.43,0.9,6.22,0.086,13.7,0.73,1.05,361.1,98.9,71,0.0044,II,1727,151210,0
RB03186,11/1/2025 20:46,Mansehra Mid Tunnel,Dolomite,778,113.2,10.2,94.9,2.57,2.73,2.52,0.51,0.99,6.03,0.089,16.6,0.87,0.94,379.2,98.2,81.3,0.0047,III,1660,118110,0
RB03956,5/22/2025 2:53,Thar Block A,Granite,866,97.9,9.6,104.6,2.8,2.68,2.68,0.58,1.74,5.57,0.087,19.1,0.93,1.1,444.2,103.3,82,0.0049,IV,1716,118120,0
RB01057,7/31/2025 18:44,Gawadar Support Shaft,Sandstone,512,137.6,12.3,72.1,3.42,2.05,2.78,0.32,1.65,6.91,0.072,10.3,0.66,1.04,301.8,91.2,69.2,0.0037,I,2451,185910,0
RB00857,3/5/2025 18:41,Makran Fault Shaft,Dolomite,549,129.4,12.4,74.5,3.44,2.45,2.64,0.38,0.84,6.44,0.078,8.4,0.66,1.14,311.3,86.5,73.3,0.0039,I,2804,197590,0
RB03839,1/1/2025 1:43,Thar Block A,Quartzite,902,92.9,7.4,104,3.15,2.99,2.63,0.59,0.85,6.04,0.076,19,0.98,1.12,428.8,114.9,83.8,0.0049,IV,345,26780,0
RB02861,6/12/2025 3:01,Sanghar Section 1,Basalt,773,108,10,98.6,3.42,2.52,2.53,0.51,1.33,7.36,0.069,16.6,0.86,1.13,394.3,96.4,78.5,0.0047,III,186,9670,0
RB04770,8/15/2025 15:39,Sindh Line A,Quartzite,883,99.3,8.4,101.1,2.59,2.42,2.58,0.55,1.19,5.9,0.066,18.9,0.96,0.99,420.9,114.6,85.7,0.0048,IV,170,9980,3
RB00777,3/23/2025 5:09,Mine X-Delta,Migmatite,524,136,13,77,3.61,3.34,2.74,0.31,1.65,7.26,0.083,10.8,0.67,1.24,334.9,92.8,71.2,0.004,I,133,8760,0
